月份,房屋居住費,拉拉薪水,買菜食材,看醫生,水電費,其他支出,當月總支出,備註說明
2025/10,10000,22000,0,0,0,10000,42000,"含還先匯拉拉$6,000、媽媽生活雜費$4,000"
2025/11,10000,21242,6182,0,0,8000,45424,"薪水分兩筆($16,242+$5,000)；生活費/雜費$8,000"
2025/12,10000,21909,3981,0,0,5650,41540,"媽媽家用/雜費$4,000、第四台有線電視$1,650"
2026/01,10000,22242,4961,2000,2109,2380,43692,"114.12電費$2,109；看醫生$2,000；手機/零用$2,380"
2026/02,10000,22242,18610,0,1957,8980,61789,"台電電費$1,957；年菜/魚蝦$18,610；安定費$6,000"
2026/03,10000,21242,20523,0,0,7422,59187,"買給媽魚肉食材$18,523；健保費$3,772、第四台$1,650"
2026/04,10000,21909,2483,4000,1649,10084,50125,"電費$1,649；中醫+門診$4,000；4個月管理費$6,520"
2026/05,10000,22242,10746,0,1305,9715,54008,"欣中天然氣$1,305；海產肉品$10,746；尿布墊片$3,523"
2026/06,10000,22242,4390,0,0,7376,44008,"生活雜費$7,000、手機費$376"
2026/07,10000,22242,5983,0,0,3500,41725,"買菜食材$5,983、生活雜費/修門$3,500"
2026/08,10000,22242,7762,6000,2493,6141,54638,"八月電費$2,493；看醫生2次$6,000；保費$3,772、零用$2,000"
2026/09,10000,22909,8018,0,0,20316,61243,"安定費等一$14,908、調理襪$2,760、尿布$2,048、紅包$600"
全年度總計,120000,264663,93639,12000,9513,99564,599379,全年度實質總照護支出
平均每月支出,10000.0,22055.25,7803.25,1000.0,792.75,8297.0,49948.25,平均每月照護與生活開銷（約 5 萬元）
